URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_COMPLEX_WORDS,FOG_INDEX,AVG_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLES_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,13,2,0.73,0.03,17.74,22.18,15.97,17.74,122,550,1.83,6,5.38
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,54,24,0.38,0.05,19.13,25.33,17.78,19.13,407,1607,1.93,8,5.76
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,41,21,0.32,0.05,20.64,33.36,21.60,20.64,420,1259,2.14,15,6.35
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,37,63,-0.26,0.08,22.23,31.73,21.58,22.23,395,1245,2.07,7,6.21
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,24,8,0.50,0.04,19.51,25.74,18.10,19.51,226,878,1.90,8,5.89
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,80,25,0.52,0.05,21.41,30.04,20.58,21.41,611,2034,2.01,8,6.14
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,29,38,-0.13,0.06,17.78,25.18,17.18,17.78,282,1120,1.89,3,5.63
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,37,8,0.64,0.05,18.56,35.65,21.68,18.56,344,965,2.19,5,6.49
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,37,38,-0.01,0.07,18.39,35.96,21.74,18.39,410,1140,2.18,5,6.45
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,60,52,0.07,0.06,20.43,27.63,19.22,20.43,491,1777,1.88,10,5.53
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,60,14,0.62,0.05,22.04,29.62,20.66,22.04,470,1587,2.01,5,6.01
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,75,20,0.58,0.05,20.88,24.87,18.30,20.88,462,1858,1.93,4,5.81
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,44,12,0.57,0.07,27.79,27.67,22.18,27.79,223,806,1.94,5,5.79
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,26,21,0.11,0.04,16.33,24.10,16.17,16.33,307,1274,1.84,5,5.60
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,39,25,0.22,0.05,22.56,26.11,19.47,22.56,371,1421,1.89,9,5.77
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,39,25,0.22,0.05,22.56,26.11,19.47,22.56,371,1421,1.89,9,5.77
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,44,12,0.57,0.04,18.72,26.70,18.17,18.72,345,1292,1.91,7,5.78
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,35,7,0.67,0.03,23.19,26.76,19.98,23.19,335,1252,1.92,3,5.87
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,55,6,0.80,0.03,18.89,25.52,17.76,18.89,482,1889,1.83,7,5.56
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,14,1,0.87,0.02,24.66,20.56,18.09,24.66,147,715,1.79,3,5.54
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,27,38,-0.17,0.05,22.04,28.71,20.30,22.04,348,1212,1.95,8,5.88
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,18,10,0.29,0.05,18.39,24.55,17.18,18.39,149,607,1.91,8,5.62
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,36,12,0.50,0.03,23.15,19.57,17.09,23.15,308,1574,1.77,9,5.31
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,29,3,0.81,0.04,27.00,26.32,21.33,27.00,199,756,1.90,3,5.73
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,26,12,0.37,0.03,27.82,18.38,18.48,27.82,225,1224,1.71,8,5.19
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,27,14,0.32,0.04,19.93,25.19,18.04,19.93,271,1076,1.86,4,5.64
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,28,22,0.12,0.03,25.38,18.65,17.61,25.38,284,1523,1.66,29,5.00
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,36,24,0.20,0.05,25.47,23.56,19.61,25.47,306,1299,1.82,12,5.67
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,67,28,0.41,0.05,24.37,27.15,20.61,24.37,536,1974,1.94,3,5.89
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,54,29,0.30,0.05,21.68,19.89,16.63,21.68,319,1604,1.70,9,5.20
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64,33,0.32,0.05,21.21,25.90,18.85,21.21,489,1888,1.90,5,5.64
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,52,18,0.49,0.04,20.60,18.58,15.67,20.60,333,1792,1.70,20,5.11
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,59,19,0.51,0.04,22.26,21.35,17.44,22.26,404,1892,1.75,20,5.37
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,40,17,0.40,0.04,24.34,20.47,17.93,24.34,294,1436,1.74,23,5.33
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,27,10,0.46,0.04,18.58,25.51,17.64,18.58,237,929,1.83,9,5.52
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,37,10,0.57,0.05,22.48,19.69,16.87,22.48,177,899,1.71,4,5.32
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,64,33,0.32,0.04,26.10,21.12,18.89,26.10,496,2349,1.75,13,5.19
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,47,43,0.04,0.04,19.59,21.50,16.44,19.59,438,2037,1.79,3,5.47
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,39,19,0.34,0.04,23.32,25.65,19.59,23.32,353,1376,1.88,12,5.70
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,32,25,0.12,0.04,18.29,22.23,16.21,18.29,313,1408,1.77,8,5.38
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,61,24,0.44,0.05,23.04,19.10,16.85,23.04,352,1843,1.70,34,5.10
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,58,18,0.53,0.04,20.38,22.11,17.00,20.38,383,1732,1.79,13,5.42
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,25,1,0.92,0.04,26.96,27.67,21.85,26.96,194,701,1.97,2,5.88
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,85,38,0.38,0.06,166.58,17.26,73.54,166.58,345,1999,1.64,18,4.99
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,24,1,0.92,0.03,19.33,25.24,17.83,19.33,239,947,1.83,2,5.52
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,18,7,0.44,0.03,19.98,29.03,19.60,19.98,261,899,1.97,3,5.83
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,7,4,0.27,0.03,34.18,31.12,26.12,34.18,117,376,2.08,4,6.12
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,30,63,-0.35,0.06,25.34,21.20,18.61,25.34,333,1571,1.78,4,5.40
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,22,10,0.37,0.03,25.53,22.96,19.40,25.53,211,919,1.83,7,5.42
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55,25,0.37,0.04,22.04,19.25,16.52,22.04,403,2094,1.70,12,5.14
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,2,0.90,0.05,17.35,24.47,16.73,17.35,208,850,1.88,6,5.58
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,12,2,0.71,0.02,27.19,23.64,20.33,27.19,135,571,1.84,2,5.65
